,subject,date,eid,probe,region,f1,f1_shuffle,accuracy,accuracy_shuffle,auroc,auroc_shuffle
0,CSHL047,2020-01-20,89f0d6ff-69f4-45bc-b89e-72868abb042a,probe00,PoT,0.4728482757070509,0.49794547570302355,0.4465642523364486,0.4964696261682243,0.43755806761544463,0.4945434183303036
0,CSHL047,2020-01-20,89f0d6ff-69f4-45bc-b89e-72868abb042a,probe00,SGN,0.4885844748858448,0.497398614216301,0.4766355140186916,0.4962815420560747,0.4651899193702471,0.4943608413444479
0,CSHL047,2020-01-20,89f0d6ff-69f4-45bc-b89e-72868abb042a,probe00,VISp,0.5025910236995446,0.49921855774700796,0.4871285046728972,0.4955946261682243,0.4884541305688847,0.4926773909150958
0,CSHL047,2020-01-20,89f0d6ff-69f4-45bc-b89e-72868abb042a,probe00,VISp,0.4985134719483466,0.4973527124613666,0.48472546728971966,0.49444158878504674,0.48554409524901326,0.491766261061343
0,CSHL047,2020-01-20,89f0d6ff-69f4-45bc-b89e-72868abb042a,probe00,VISp,0.49981435942932756,0.49601263632016057,0.4858633177570093,0.49468341121495324,0.4865649104993367,0.4915419689600018
0,CSHL047,2020-01-20,89f0d6ff-69f4-45bc-b89e-72868abb042a,probe00,VISp,0.502549139229339,0.49826782581910234,0.4880081775700935,0.4941740654205608,0.49023303472483803,0.4924699617322568
0,CSHL047,2020-01-20,89f0d6ff-69f4-45bc-b89e-72868abb042a,probe00,VISp,0.5005649193545678,0.49808896402684333,0.48549766355140184,0.4949158878504673,0.48620593068134055,0.4925455036766513
0,CSHL047,2020-01-20,89f0d6ff-69f4-45bc-b89e-72868abb042a,probe00,VISp,0.499974947424793,0.49534895964163606,0.48639369158878504,0.4940642523364486,0.4881335358630441,0.49090261105015204
0,DY_006,2020-01-17,ea624fbc-2003-452f-be27-7159d0f95abb,probe00,MRN,0.4443685426997935,0.41306744707776477,0.5320484848484848,0.5082121212121212,0.527549637788291,0.4960772471910112
0,DY_006,2020-01-17,ea624fbc-2003-452f-be27-7159d0f95abb,probe00,PAG,0.44307894577167395,0.3921026320213906,0.5249181818181818,0.5072212121212121,0.5187250147841513,0.49129677335895916
0,DY_006,2020-01-17,ea624fbc-2003-452f-be27-7159d0f95abb,probe00,SCdg,0.46096736580073344,0.3734389167611281,0.5002333333333333,0.5068545454545454,0.5125092400946187,0.48723131652868124
0,DY_006,2020-01-17,ea624fbc-2003-452f-be27-7159d0f95abb,probe00,SCiw,0.4023177054833155,0.38691597341295847,0.4862363636363636,0.5066787878787878,0.4699861213778829,0.4895361287699586
0,DY_006,2020-01-17,ea624fbc-2003-452f-be27-7159d0f95abb,probe00,SCsg,0.34983134044499015,0.38176854404240745,0.4450121212121212,0.5068181818181818,0.40815399541691305,0.4888790656416322
0,CSH_ZAD_001,2020-01-16,3e7ae7c0-fe8b-487c-9354-036236fa1010,probe00,MB,0.5101518303432397,0.571202311348896,0.47001447368421057,0.5034144736842106,0.44794151697715096,0.4935194064243872
0,CSH_ZAD_001,2020-01-16,3e7ae7c0-fe8b-487c-9354-036236fa1010,probe00,MRN,0.4822295614246987,0.574324151629722,0.4544026315789474,0.5029763157894737,0.43050944640328714,0.4922041769621589
0,CSH_ZAD_001,2020-01-16,3e7ae7c0-fe8b-487c-9354-036236fa1010,probe00,PRC,0.5790649984044758,0.5830970789079856,0.4898447368421052,0.5030828947368421,0.45694148921402594,0.49120385074543993
0,CSH_ZAD_001,2020-01-16,3e7ae7c0-fe8b-487c-9354-036236fa1010,probe00,SNr,0.4318790119574991,0.5819821953841433,0.44098026315789474,0.5033407894736842,0.43682631388989146,0.4911821712151919
0,CSH_ZAD_001,2020-01-15,ff2e3f6c-a338-4c59-829d-0b225055b2df,probe00,MB,0.6603816604104448,0.709253630341172,0.5180463968410661,0.5649684106614018,0.4581918676215521,0.492176317430122
0,CSH_ZAD_001,2020-01-15,ff2e3f6c-a338-4c59-829d-0b225055b2df,probe00,MRN,0.6487221828454626,0.7061728332513144,0.5126939782823297,0.5631056268509378,0.428099819360408,0.49339626211923815
0,CSH_ZAD_001,2020-01-15,ff2e3f6c-a338-4c59-829d-0b225055b2df,probe00,PPN,0.670165311534732,0.6999357305282939,0.535486673247779,0.5601441263573543,0.4464351176155574,0.4946157052537346
0,CSH_ZAD_001,2020-01-15,ff2e3f6c-a338-4c59-829d-0b225055b2df,probe00,RSPagl,0.662093781907909,0.702675074851794,0.5200927936821323,0.5612201382033564,0.43939266731142745,0.4936875994117224
0,CSH_ZAD_001,2020-01-15,ff2e3f6c-a338-4c59-829d-0b225055b2df,probe00,RSPd,0.6559591854361394,0.6992593979807484,0.5262349457058243,0.5596900296150048,0.46184752739567264,0.4941840465666488
0,CSH_ZAD_001,2020-01-15,ff2e3f6c-a338-4c59-829d-0b225055b2df,probe00,RSPd,0.6569993281269767,0.6991416836321418,0.5268292201382032,0.5595449160908192,0.4612144755457154,0.49359263973591455
0,CSH_ZAD_001,2020-01-15,ff2e3f6c-a338-4c59-829d-0b225055b2df,probe00,RSPd,0.6571726225390859,0.6983375782860282,0.5265794669299112,0.5588617966436327,0.4610756767990025,0.49376830374627334
